,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,1449,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:40:00Z,0,delta,delta_blocks,14458116,xmev-capture,14458116
,,1450,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:40:00Z,2,delta,delta_blocks,14461863,xmev-capture,14461863
,,1451,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:20:00Z,2,delta,delta_blocks,14462041,xmev-capture,14462040
,,1452,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T14:50:00Z,1,delta,delta_blocks,14462432,xmev-capture,14462431
,,1453,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:20:00Z,1,delta,delta_blocks,14462039,xmev-capture,14462038
,,1454,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:10:00Z,2,delta,delta_blocks,14460934,xmev-capture,14460934
,,1455,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,2,delta,delta_blocks,14460615,xmev-capture,14460615
,,1456,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:30:00Z,0,delta,delta_blocks,14458063,xmev-capture,14458062
,,1457,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:30:00Z,1,delta,delta_blocks,14460767,xmev-capture,14460766
,,1458,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:10:00Z,1,delta,delta_blocks,14460920,xmev-capture,14460919
,,1459,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:40:00Z,2,delta,delta_blocks,14461074,xmev-capture,14461074
,,1460,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-25T22:40:00Z,1,delta,delta_blocks,14458107,xmev-capture,14458107
,,1461,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:40:00Z,1,delta,delta_blocks,14462955,xmev-capture,14462954
,,1462,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:10:00Z,2,delta,delta_blocks,14461975,xmev-capture,14461974
,,1463,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:20:00Z,1,delta,delta_blocks,14461786,xmev-capture,14461785
,,1464,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:20:00Z,1,delta,delta_blocks,14462595,xmev-capture,14462594
,,1465,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T11:50:00Z,0,delta,delta_blocks,14461612,xmev-capture,14461610
,,1466,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:10:00Z,2,delta,delta_blocks,14460932,xmev-capture,14460932
,,1467,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:30:00Z,1,delta,delta_blocks,14461826,xmev-capture,14461825
,,1468,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:50:00Z,0,delta,delta_blocks,14462720,xmev-capture,14462719
,,1469,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:50:00Z,1,delta,delta_blocks,14462175,xmev-capture,14462174
,,1470,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T16:40:00Z,0,delta,delta_blocks,14462926,xmev-capture,14462924
,,1471,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:10:00Z,1,delta,delta_blocks,14462539,xmev-capture,14462538
,,1472,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T15:30:00Z,0,delta,delta_blocks,14462631,xmev-capture,14462629
,,1473,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T13:20:00Z,1,delta,delta_blocks,14462037,xmev-capture,14462036
,,1474,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T12:10:00Z,0,delta,delta_blocks,14461721,xmev-capture,14461721
,,1475,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T09:20:00Z,1,delta,delta_blocks,14460982,xmev-capture,14460981
,,1476,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T10:20:00Z,3,delta,delta_blocks,14461219,xmev-capture,14461219
,,1477,2022-03-25T16:06:12.457697917Z,2022-03-27T16:06:12.457697917Z,2022-03-26T08:00:00Z,1,delta,delta_blocks,14460643,xmev-capture,14460643
