,result,table,_start,_stop,_time,_value,_field,_measurement,host,timestamp
,,607,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:36:00Z,10,delta,delta_block_time,xmev-capture,1648456516086
,,608,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:22:00Z,17,delta,delta_block_time,xmev-capture,1648459290078
,,609,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:58:00Z,-15,delta,delta_block_time,xmev-capture,1648457857042
,,610,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:25:00Z,-34,delta,delta_block_time,xmev-capture,1648455867599
,,611,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:12:00Z,-18,delta,delta_block_time,xmev-capture,1648462300167
,,612,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:51:00Z,-12,delta,delta_block_time,xmev-capture,1648453818116
,,613,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T08:42:00Z,-12,delta,delta_block_time,xmev-capture,1648456892330
,,614,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:49:00Z,17,delta,delta_block_time,xmev-capture,1648460891221
,,615,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:09:00Z,3956,delta,delta_block_time,xmev-capture,1648462112049
,,616,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:44:00Z,-18,delta,delta_block_time,xmev-capture,1648453401798
,,617,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T10:24:00Z,-15,delta,delta_block_time,xmev-capture,1648462980646
,,618,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:51:00Z,-25,delta,delta_block_time,xmev-capture,1648461031285
,,619,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:03:00Z,-16,delta,delta_block_time,xmev-capture,1648458157245
,,620,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T07:39:00Z,-34,delta,delta_block_time,xmev-capture,1648453117587
,,621,2022-03-28T07:24:03.456036927Z,2022-03-28T10:24:03.456036927Z,2022-03-28T09:04:00Z,-19,delta,delta_block_time,xmev-capture,1648458185274
