,result,table,_start,_stop,_time,_value,_field,_measurement,eth_block,host,pol_block
,,547,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:20:00Z,8008,delta,delta_block_time,14460989,xmev-capture,14460988
,,548,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:10:00Z,5,delta,delta_block_time,14460936,xmev-capture,14460936
,,549,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:10:00Z,7,delta,delta_block_time,14462816,xmev-capture,14462816
,,550,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:40:00Z,3990,delta,delta_block_time,14462655,xmev-capture,14462654
,,551,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:00:00Z,36034,delta,delta_block_time,14461147,xmev-capture,14461145
,,552,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:40:00Z,0,delta,delta_block_time,14462956,xmev-capture,14462956
,,553,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,4011,delta,delta_block_time,14458054,xmev-capture,14458053
,,554,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:30:00Z,2,delta,delta_block_time,14461039,xmev-capture,14461039
,,555,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:20:00Z,1,delta,delta_block_time,14462047,xmev-capture,14462047
,,556,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:50:00Z,11957,delta,delta_block_time,14462181,xmev-capture,14462180
,,557,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:00:00Z,12012,delta,delta_block_time,14462468,xmev-capture,14462467
,,558,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:30:00Z,1,delta,delta_block_time,14461803,xmev-capture,14461803
,,559,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,13,delta,delta_block_time,14458051,xmev-capture,14458052
,,560,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:50:00Z,3955,delta,delta_block_time,14460850,xmev-capture,14460849
,,561,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:10:00Z,8016,delta,delta_block_time,14461194,xmev-capture,14461193
,,562,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:10:00Z,24046,delta,delta_block_time,14462511,xmev-capture,14462510
,,563,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:50:00Z,32020,delta,delta_block_time,14460846,xmev-capture,14460845
,,564,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:10:00Z,20011,delta,delta_block_time,14462259,xmev-capture,14462257
,,565,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:10:00Z,3976,delta,delta_block_time,14462272,xmev-capture,14462271
,,566,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:00:00Z,160,delta,delta_block_time,14461436,xmev-capture,14461436
,,567,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:40:00Z,4,delta,delta_block_time,14461867,xmev-capture,14461867
,,568,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:00:00Z,11977,delta,delta_block_time,14461918,xmev-capture,14461917
,,569,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:40:00Z,16005,delta,delta_block_time,14462657,xmev-capture,14462656
,,570,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:30:00Z,3991,delta,delta_block_time,14461279,xmev-capture,14461277
,,571,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:40:00Z,7964,delta,delta_block_time,14460781,xmev-capture,14460780
,,572,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:30:00Z,12012,delta,delta_block_time,14461534,xmev-capture,14461533
,,573,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:00:00Z,39993,delta,delta_block_time,14462206,xmev-capture,14462205
,,574,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:50:00Z,3981,delta,delta_block_time,14462706,xmev-capture,14462705
,,575,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:20:00Z,4015,delta,delta_block_time,14462587,xmev-capture,14462586
,,576,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:20:00Z,28003,delta,delta_block_time,14460976,xmev-capture,14460975
,,577,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:20:00Z,15832,delta,delta_block_time,14458033,xmev-capture,14458032
,,578,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-25T22:30:00Z,4175,delta,delta_block_time,14458063,xmev-capture,14458062
,,579,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:10:00Z,15967,delta,delta_block_time,14461467,xmev-capture,14461466
,,580,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:20:00Z,3996,delta,delta_block_time,14462023,xmev-capture,14462022
,,581,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:30:00Z,4004,delta,delta_block_time,14461557,xmev-capture,14461556
,,582,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:20:00Z,19998,delta,delta_block_time,14461500,xmev-capture,14461499
,,583,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:50:00Z,1,delta,delta_block_time,14462452,xmev-capture,14462452
,,584,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:40:00Z,2,delta,delta_block_time,14462928,xmev-capture,14462928
,,585,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:10:00Z,32040,delta,delta_block_time,14460930,xmev-capture,14460929
,,586,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:30:00Z,36020,delta,delta_block_time,14462607,xmev-capture,14462606
,,587,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:30:00Z,4010,delta,delta_block_time,14461011,xmev-capture,14461010
,,588,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:20:00Z,0,delta,delta_block_time,14462860,xmev-capture,14462860
,,589,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T15:30:00Z,1,delta,delta_block_time,14462641,xmev-capture,14462641
,,590,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:30:00Z,17,delta,delta_block_time,14461015,xmev-capture,14461015
,,591,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:20:00Z,3985,delta,delta_block_time,14462289,xmev-capture,14462288
,,592,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T11:00:00Z,3994,delta,delta_block_time,14461443,xmev-capture,14461442
,,593,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T07:40:00Z,6,delta,delta_block_time,14460543,xmev-capture,14460543
,,594,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T08:50:00Z,11995,delta,delta_block_time,14460825,xmev-capture,14460824
,,595,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:30:00Z,5,delta,delta_block_time,14461793,xmev-capture,14461793
,,596,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T09:40:00Z,3993,delta,delta_block_time,14461070,xmev-capture,14461069
,,597,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:10:00Z,28015,delta,delta_block_time,14462270,xmev-capture,14462269
,,598,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:00:00Z,1,delta,delta_block_time,14462195,xmev-capture,14462196
,,599,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:00:00Z,3,delta,delta_block_time,14462760,xmev-capture,14462760
,,600,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:30:00Z,16012,delta,delta_block_time,14462086,xmev-capture,14462084
,,601,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T10:40:00Z,16015,delta,delta_block_time,14461331,xmev-capture,14461330
,,602,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T16:40:00Z,3982,delta,delta_block_time,14462937,xmev-capture,14462936
,,603,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:00:00Z,16013,delta,delta_block_time,14462194,xmev-capture,14462193
,,604,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T13:30:00Z,20020,delta,delta_block_time,14462059,xmev-capture,14462058
,,605,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T14:20:00Z,23985,delta,delta_block_time,14462316,xmev-capture,14462315
,,606,2022-03-25T16:03:48.688303399Z,2022-03-27T16:03:48.688303399Z,2022-03-26T12:10:00Z,17,delta,delta_block_time,14461719,xmev-capture,14461719
